generation,timestamp,avg_fitness,peak_fitness,min_fitness,std_fitness,policy_entropy,entropy_variance,mutation_rate,population_diversity
0,2026-02-08T16:45:36.811839,625.4168397216797,799.9368286132812,527.0,45.34091114853136,1.3517751592397689,0.00016699454680545178,0.0,6.1077719681672376
1,2026-02-08T16:45:40.415600,611.6095047607422,759.9991455078125,521.0,24.222171446113887,1.3443372827768325,0.00025361780133451045,0.045000000000000005,6.754748818464954
2,2026-02-08T16:45:44.002688,616.699,625.0,521.0,18.276115533668527,1.3348722165822984,0.0004064196485395396,0.047400000000000005,7.206745988768761
3,2026-02-08T16:45:47.846996,615.136,625.0,521.0,19.974070791904186,1.332560104727745,0.0005488185113517684,0.047400000000000005,7.305062482621935
4,2026-02-08T16:45:51.441597,617.004,625.0,521.0,19.406081108765882,1.3322968572378158,0.0007003119274906933,0.047400000000000005,7.512600980623804
5,2026-02-08T16:45:54.952022,617.854,625.0,521.0,17.242409460397347,1.3272786211967469,0.0009508736570826158,0.047400000000000005,7.454537333960485
6,2026-02-08T16:45:58.128150,616.06,625.0,521.0,20.118210656020082,1.3270324248075485,0.0009276032636539465,0.047400000000000005,7.550798611111111
7,2026-02-08T16:46:01.090813,618.061,625.0,521.0,17.867995942466518,1.3271841460466385,0.0010315771456704394,0.047400000000000005,7.588617944332085
8,2026-02-08T16:46:04.036759,616.733,625.0,521.0,18.50793643278472,1.3271640902757644,0.0009647711585826637,0.047400000000000005,7.644360682940242
9,2026-02-08T16:46:06.967389,616.002,625.0,521.0,20.215538479100676,1.3255547535419465,0.0009054163460359049,0.047400000000000005,7.644253452185429
10,2026-02-08T16:46:10.049295,616.694,625.0,521.0,19.65539020218118,1.3283670729398727,0.0009974303103428778,0.047400000000000005,7.432937828699748
11,2026-02-08T16:46:13.011050,617.445,625.0,521.0,18.288547645999667,1.3258141016960143,0.0010848265373805304,0.047400000000000005,7.650956494495122
12,2026-02-08T16:46:16.194296,616.662,625.0,521.0,19.51450117220525,1.3278473424911499,0.0012289452349685973,0.047400000000000005,7.600427315548213
13,2026-02-08T16:46:19.128561,616.911,625.0,521.0,18.898229520248716,1.3226755195856095,0.0012459797989219647,0.047400000000000005,7.551268522859824
14,2026-02-08T16:46:22.218283,618.63,625.0,521.0,16.45354369125387,1.3297768312692642,0.001035574369065213,0.047400000000000005,7.505167495361483
15,2026-02-08T16:46:25.179279,616.592,625.0,521.0,18.599664943218734,1.3277505534887313,0.0009746578676275102,0.047400000000000005,7.496690576341417
16,2026-02-08T16:46:28.145550,617.696,625.0,521.0,17.423076192222773,1.3263468605279922,0.000983238916017822,0.047400000000000005,7.507652620835738
17,2026-02-08T16:46:31.145529,615.93,625.0,521.0,19.634538446319535,1.32705004632473,0.0009280591604982899,0.047400000000000005,7.497397216353754
18,2026-02-08T16:46:34.243898,616.802,625.0,521.0,18.899862327540905,1.3253050345182418,0.0009634851700164798,0.047400000000000005,7.612109802034166
19,2026-02-08T16:46:37.262455,617.659,625.0,523.0,17.423510524575693,1.325492401123047,0.0010336916683315338,0.047400000000000005,7.675949010656337
20,2026-02-08T16:46:40.385428,616.891,625.0,521.0,18.386547228884492,1.3264466780424118,0.0009024539187444527,0.047400000000000005,7.542153367996216
21,2026-02-08T16:46:43.358375,616.091,625.0,521.0,20.11891445878728,1.32719121158123,0.0010188067213764038,0.047400000000000005,7.60537917792195
